Região,Município,CodMuns,Estado,Média Cob Vac,Média At Pr,Média Plano,IDHm,Média Var CobVac,Média Var At Pr,Média Var Plano,gini,IDHm_renda,Tipo_Urb,pop_area,Média_pop,Média_pop0a4,Média_pct_pop0a4,area_km2,Densidade,pct_san_adeq,média_familias_bf,média_pct_ben_bf
Centro Oeste,Americano do Brasil,520085,Goiás,89.5348666,96.0418182,6.1830936,0.7,0.025358,-0.04354,-0.0778464,0.4157,0.669,Semi-Urban,46.150505753839,5894.0,374.0,0.0633741,133.563,44.13,0.0133642,343.0,0.2330755
Centro Oeste,Amorinópolis,520090,Goiás,82.027982,98.4027273,1.3563047,0.681,0.0851118,0.0010851,0.0979073,0.4279,0.672,Rural,7.51239214246374,3367.0,171.0,0.0507814,408.525,8.24,0.09529,345.0,0.4113212
Centro Oeste,Anápolis,520110,Goiás,87.8154142,58.9236364,18.0940916,0.737,0.0036131,0.0251325,0.039393,0.5152,0.737,Urban,419.390544946936,366510.0,25979.0,0.0709261,934.146,392.35,0.5631572,12175.0,0.133902
Centro Oeste,Anhanguera,520120,Goiás,84.1058941,100.0,9.4343583,0.725,0.231395,0.0,0.0330604,0.3895,0.724,Rural,20.8787055202577,1100.0,68.0,0.062089,55.559,19.8,0.1040462,51.0,0.185859
Centro Oeste,Anicuns,520130,Goiás,81.1104557,100.0,6.2911426,0.714,0.1167488,0.0,0.0283579,0.4789,0.695,Semi-Urban,22.5369643741458,21304.0,1350.0,0.0633959,975.331,21.84,0.580559,1539.0,0.2888963
Centro Oeste,Aparecida de Goiânia,520140,Goiás,89.6910135,42.2827273,15.4131221,0.718,-0.0250253,0.0482089,0.0484203,0.4865,0.716,Urban,2118.71946118856,527770.0,43753.0,0.0829607,278.539,1894.78,0.3483994,15360.0,0.1194453
Centro Oeste,Aparecida do Rio Doce,520145,Goiás,100.0,100.0,3.1875386,0.693,0.0,0.0,0.0768892,0.5181,0.7,Rural,4.10872680952547,2473.0,162.0,0.0654805,602.133,4.11,0.6653177,169.0,0.2741334
Centro Oeste,Aporé,520150,Goiás,83.5452646,88.1163636,3.2212454,0.693,-0.0274081,0.0092172,0.0540739,0.4605,0.692,Rural,1.45889782888976,4054.0,348.0,0.0859111,2900.82,1.4,0.275381,213.0,0.2099829
Centro Oeste,Araçu,520160,Goiás,84.6342811,100.0,2.8899848,0.693,-0.0271465,0.0,0.0337626,0.5387,0.686,Rural,23.3378634406946,3676.0,193.0,0.0523443,149.371,24.61,0.0658915,289.0,0.3143418
Centro Oeste,Aragarças,520170,Goiás,80.3758374,100.0,4.6235414,0.732,0.00373,0.0,0.0031251,0.4587,0.694,Urban,30.5072758189999,19449.0,1361.0,0.0700131,664.53,29.27,0.0345309,1671.0,0.3421685
Centro Oeste,Aragoiânia,520180,Goiás,87.3683757,100.0,4.2467711,0.684,0.0200538,0.0,0.0627989,0.4724,0.683,Urban,48.0012439346751,9517.0,691.0,0.0726927,218.661,43.52,0.0192601,749.0,0.3129374
Centro Oeste,Araguapaz,520215,Goiás,89.4979837,98.2409091,2.4564226,0.674,-0.0237505,0.0021232,-0.028313,0.5353,0.696,Rural,3.54788713133063,7715.0,549.0,0.0711094,2193.7,3.52,0.5191629,725.0,0.3757522
Centro Oeste,Arenópolis,520235,Goiás,94.606169,99.9190909,3.3579472,0.687,0.0011679,0.000898,0.158575,0.5105,0.674,Rural,2.35995886822477,2931.0,176.0,0.0598154,1074.595,2.73,0.3066547,253.0,0.3386354
Centro Oeste,Aruanã,520250,Goiás,83.2449464,82.1872727,2.9195306,0.675,0.0245433,-0.0329406,-0.0025687,0.517,0.708,Rural,3.30901269011276,8885.0,742.0,0.0835401,3055.292,2.91,0.2873804,520.0,0.2409397
Centro Oeste,Aurilândia,520260,Goiás,88.6509887,100.0,3.0551879,0.7,0.0137605,0.0,0.048488,0.4441,0.661,Rural,5.41396086651701,3387.0,146.0,0.0429956,564.836,6.0,0.0225806,297.0,0.3492064
Centro Oeste,Avelinópolis,520280,Goiás,98.8980716,100.0,2.8425643,0.66,0.000391,0.0,0.048975,0.59,0.682,Rural,14.2757247493304,2451.0,161.0,0.0656794,168.748,14.52,0.3143545,262.0,0.4277533
Centro Oeste,Baliza,520310,Goiás,67.583911,99.4345455,1.0817075,0.655,0.0644273,0.0066325,0.0652779,0.5763,0.614,Rural,2.95824172868889,4539.0,307.0,0.0675527,1784.844,2.54,0.1737176,404.0,0.3654521
Centro Oeste,Barro Alto,520320,Goiás,93.4331373,75.5690909,21.9268185,0.742,-0.0237768,-0.0323158,0.0762819,0.4454,0.701,Rural,10.4349607774265,10155.0,753.0,0.074165,1093.248,9.29,0.0698749,694.0,0.273758
Centro Oeste,Bela Vista de Goiás,520330,Goiás,82.8221107,100.0,8.1853437,0.716,-0.0384702,0.0,0.1222808,0.5185,0.721,Semi-Urban,23.8993799422973,27809.0,1868.0,0.0671846,1275.849,21.8,0.3784722,1222.0,0.1762107
Centro Oeste,Bom Jardim de Goiás,520340,Goiás,94.1845394,93.0890909,4.706765,0.67,0.0379068,0.0259105,-0.0059925,0.5001,0.68,Rural,4.66910870510543,8737.0,547.0,0.0626308,1899.506,4.6,0.0185164,889.0,0.4068916
Centro Oeste,Bom Jesus de Goiás,520350,Goiás,97.692682,90.0854545,18.2080619,0.701,-0.011871,0.0030536,0.3801049,0.5119,0.699,Urban,18.2544404809014,23400.0,1884.0,0.0805861,1405.028,16.65,0.3260189,1157.0,0.1986331
Centro Oeste,Bonfinópolis,520355,Goiás,93.7483243,98.6927273,5.9197323,0.683,0.0225336,0.0065601,0.0241363,0.4454,0.671,Urban,80.3632916622781,8803.0,679.0,0.0771276,123.427,71.32,0.0749967,605.0,0.2761713
Centro Oeste,Bonópolis,520357,Goiás,94.1555414,99.0772727,0.1675404,0.63,0.0084022,0.0001945,0.085605,0.4252,0.63,Rural,2.75900437584358,4035.0,301.0,0.0743331,1628.486,2.48,0.3390353,410.0,0.410882
Centro Oeste,Brazabrantes,520360,Goiás,93.578714,100.0,5.469754,0.701,-0.029835,0.0,-0.0108682,0.4089,0.677,Urban,30.4374674987,3541.0,207.0,0.0583927,123.072,28.78,0.0383802,235.0,0.2669991
Centro Oeste,Britânia,520380,Goiás,96.08289,100.0,2.5057614,0.672,-0.0311834,0.0,0.0508769,0.5573,0.692,Rural,3.96238976463528,5704.0,356.0,0.0624413,1463.006,3.9,0.2648003,432.0,0.3031955
Centro Oeste,Buriti Alegre,520390,Goiás,87.6668796,78.2981818,14.7560709,0.71,0.0840277,0.1631421,0.0775704,0.4507,0.7,Semi-Urban,10.5912518314691,9357.0,598.0,0.0639061,895.456,10.45,0.2765127,315.0,0.1346699
Centro Oeste,Buriti de Goiás,520393,Goiás,93.1182297,100.0,1.7885717,0.687,0.0094132,0.0,0.1029514,0.4931,0.707,Rural,12.3541797642926,2540.0,130.0,0.0512245,200.418,12.67,0.0211051,205.0,0.3215108
Centro Oeste,Buritinópolis,520396,Goiás,94.5555556,99.6872727,2.5035963,0.704,0.0154423,0.0035626,0.1128644,0.779,0.727,Rural,13.2889693054358,3329.0,274.0,0.0822992,247.047,13.48,0.1382066,434.0,0.5216958
Centro Oeste,Cabeceiras,520400,Goiás,94.6049858,91.0090909,1.5438435,0.668,0.0038718,-0.0558325,0.029854,0.4957,0.637,Rural,7.14611795091329,7769.0,635.0,0.0817615,1125.926,6.9,0.2226823,860.0,0.4431392
Centro Oeste,Cachoeira Alta,520410,Goiás,99.0737305,91.0654545,8.795307,0.71,0.0007653,-0.0532395,0.1334912,0.5152,0.75,Semi-Urban,7.65523518724683,11715.0,845.0,0.072212,1654.554,7.08,0.7261217,494.0,0.1685326
Centro Oeste,Cachoeira de Goiás,520420,Goiás,93.6293885,100.0,0.8411447,0.727,0.0378021,0.0,0.1512047,0.4724,0.68,Rural,3.17444547736138,1396.0,85.0,0.061069,422.751,3.3,0.1575674,143.0,0.4113464
Centro Oeste,Cachoeira Dourada,520425,Goiás,80.8106482,100.0,28.2573149,0.698,0.0296596,0.0,0.2420599,0.4824,0.703,Rural,15.2047846509488,8214.0,523.0,0.063644,528.189,15.55,0.4329921,517.0,0.2512021
Centro Oeste,Caçu,520430,Goiás,94.1346091,99.1427273,19.7903519,0.73,-0.0229832,0.0002559,0.0453811,0.5354,0.774,Urban,7.22595017691809,14912.0,928.0,0.0623152,2251.607,6.62,0.5918503,439.0,0.1204926
Centro Oeste,Caiapônia,520440,Goiás,91.6981262,81.2536364,2.5743348,0.693,0.0014408,0.0465226,0.0451916,0.5321,0.701,Semi-Urban,2.21270579744669,18100.0,1123.0,0.062116,8635.129,2.1,0.4895388,982.0,0.2184095
Centro Oeste,Caldas Novas,520450,Goiás,90.0425788,65.8227273,9.3913411,0.733,-0.0074023,-0.023044,0.0221081,0.5065,0.739,Urban,57.9418927295347,82600.0,6089.0,0.073798,1608.439,51.35,0.5995122,2997.0,0.1478522
Centro Oeste,Caldazinha,520455,Goiás,79.0528255,99.7690909,4.8531847,0.685,0.7990863,6.62e-05,0.112317,0.472,0.669,Urban,15.4110480553965,3626.0,235.0,0.0647239,249.691,14.52,0.4612209,269.0,0.2976339
Centro Oeste,Campestre de Goiás,520460,Goiás,99.6753247,98.8009091,2.1364438,0.653,0.0001323,0.0041967,0.1169258,0.4529,0.628,Rural,13.3265160783741,3545.0,236.0,0.0664536,273.815,12.95,0.0197502,390.0,0.4383296
Centro Oeste,Campinaçu,520465,Goiás,78.1599179,99.2836364,0.9745179,0.631,0.1719613,0.0006741,0.0547658,0.5634,0.644,Rural,1.83956948401393,3680.0,258.0,0.0700084,1974.375,1.86,0.0783682,467.0,0.5077764
Centro Oeste,Campinorte,520470,Goiás,98.2006213,96.7590909,8.8693707,0.688,0.0006657,0.0012453,0.0801544,0.4933,0.685,Rural,11.9603707302629,12028.0,900.0,0.0748266,1067.191,11.27,0.310696,937.0,0.31144
Centro Oeste,Campo Alegre de Goiás,520480,Goiás,95.4635958,100.0,24.0422363,0.694,0.0077126,0.0,0.0088693,0.469,0.702,Rural,3.14224953067267,6963.0,617.0,0.0886145,2462.567,2.83,0.2378019,284.0,0.1657122
Centro Oeste,Campo Limpo de Goiás,520485,Goiás,87.5883388,99.28,2.0865934,0.661,0.0684447,0.0001411,-0.1175055,0.4266,0.654,Semi-Urban,49.7627806990605,7156.0,680.0,0.0950668,159.557,44.85,0.1877853,630.0,0.3475415
Centro Oeste,Campos Belos,520490,Goiás,87.7960864,93.0772727,6.4530915,0.692,-0.0119113,0.0115859,0.0494039,0.5608,0.661,Urban,27.2277429838242,19381.0,1696.0,0.0874894,734.802,26.38,0.5001334,2035.0,0.4207378
Centro Oeste,Campos Verdes,520495,Goiás,91.8132637,100.0,1.6657379,0.654,0.0281183,0.0,0.1213918,0.4747,0.608,Semi-Urban,4.14359949733383,3451.0,225.0,0.0646448,441.645,7.81,0.0878669,834.0,1.0700426
Centro Oeste,Carmo do Rio Verde,520500,Goiás,88.8237978,99.1781818,4.1261922,0.713,-0.0116972,0.0008984,-0.0049847,0.4595,0.677,Semi-Urban,24.3367483466493,9654.0,620.0,0.0642288,418.544,23.07,0.2503572,609.0,0.2543822
Centro Oeste,Castelândia,520505,Goiás,97.979798,96.0109091,7.0831145,0.701,0.0063492,0.0031959,0.1642149,0.5906,0.724,Rural,11.4337683780963,3553.0,238.0,0.0669703,297.977,11.92,0.3016473,337.0,0.3783876
Centro Oeste,Catalão,520510,Goiás,86.5705608,49.0245455,29.1573205,0.766,-0.0040026,0.0435217,0.0038737,0.5104,0.769,Urban,29.0508979018636,99723.0,6806.0,0.0683073,3820.295,26.1,0.519064,2451.0,0.0996193
Centro Oeste,Caturaí,520520,Goiás,100.0,97.1309091,5.2026817,0.664,0.0,0.0145534,0.0127573,0.4418,0.665,Rural,24.8734627800154,4938.0,372.0,0.0754409,205.078,24.08,0.3574424,410.0,0.3321242
Centro Oeste,Cavalcante,520530,Goiás,95.0746476,99.9581818,1.3879343,0.584,-0.0044326,0.0004621,0.0335065,0.6294,0.595,Rural,1.39805712468599,9644.0,1024.0,0.1061636,6956.082,1.39,0.1461144,1074.0,0.4461251
Centro Oeste,Ceres,520540,Goiás,91.5074703,97.8872727,10.6813696,0.775,-0.0357678,0.0006901,0.0183776,0.5312,0.753,Urban,104.07704295406,21697.0,1215.0,0.0559946,214.322,101.24,0.3731089,856.0,0.1586636
Centro Oeste,Cezarina,520545,Goiás,88.9159893,92.2409091,9.024523,0.711,0.0194283,0.0144511,0.0281758,0.4818,0.684,Rural,20.9301822222115,8195.0,564.0,0.0687869,415.811,19.71,0.0507945,404.0,0.1988016
Centro Oeste,Chapadão do Céu,520547,Goiás,96.8899455,97.4281818,32.0242575,0.742,-0.0248539,0.0016063,0.0424698,0.422,0.748,Semi-Urban,4.80039626387622,8826.0,831.0,0.0942721,2184.403,4.04,0.6928581,243.0,0.1100153
Centro Oeste,Cidade Ocidental,520549,Goiás,96.880099,93.7409091,22.1391395,0.717,-0.006263,0.017854,-0.1799755,0.5247,0.706,Urban,186.438987208377,64998.0,6034.0,0.0928486,390.959,166.25,0.5427522,4795.0,0.2924651
Centro Oeste,Cocalzinho de Goiás,520551,Goiás,100.0,99.4327273,2.9841149,0.657,0.0,7.31e-05,0.1486456,0.4911,0.648,Semi-Urban,11.4609016349001,19136.0,1594.0,0.0832683,1789.039,10.7,0.1783156,2051.0,0.426562
Centro Oeste,Colinas do Sul,520552,Goiás,95.5473098,100.0,2.1316297,0.658,-0.0437188,0.0,0.0741808,0.5149,0.633,Rural,1.96699660693085,3472.0,313.0,0.090194,1708.188,2.03,0.0543781,435.0,0.5017032
Centro Oeste,Córrego do Ouro,520570,Goiás,91.5490584,100.0,3.6216806,0.686,-0.0410914,0.0,-0.0278933,0.4897,0.696,Rural,5.02219415056933,2482.0,138.0,0.0554452,455.976,5.44,0.150056,189.0,0.3038878
Centro Oeste,Corumbá de Goiás,520580,Goiás,92.3247793,97.1772727,1.911244,0.68,0.0263029,-0.0066557,0.0144069,0.5185,0.665,Rural,10.5173948048646,10857.0,834.0,0.0768504,1061.955,10.22,0.2578962,966.0,0.3553424
Centro Oeste,Cristalina,520620,Goiás,99.3838028,81.2290909,5.0087269,0.699,0.0021765,0.0021473,0.0309853,0.5753,0.716,Urban,9.76813139426489,53879.0,4816.0,0.0893612,6163.922,8.74,0.4025311,3525.0,0.2618892
Centro Oeste,Cristianópolis,520630,Goiás,82.458552,100.0,4.1543072,0.688,0.1922383,0.0,0.0462536,0.5255,0.703,Rural,13.1523480313633,2974.0,193.0,0.0649732,225.359,13.2,0.040201,237.0,0.3182677
Centro Oeste,Crixás,520640,Goiás,90.4817593,95.7536364,24.2823233,0.708,-0.0374144,0.0095679,0.0263469,0.5589,0.706,Semi-Urban,3.65659187358713,16550.0,1138.0,0.0687484,4661.171,3.55,0.1366243,1082.0,0.2621383
Centro Oeste,Cromínia,520650,Goiás,90.8780109,100.0,3.6875198,0.706,0.0717125,0.0,0.0851355,0.5199,0.692,Rural,9.53571085263866,3545.0,216.0,0.0608528,364.105,9.74,0.495717,345.0,0.3892535
Centro Oeste,Cumari,520660,Goiás,84.5193222,100.0,10.2585639,0.737,0.0040439,0.0,0.0332973,0.5869,0.744,Rural,4.9708703841605,2926.0,172.0,0.0588329,570.725,5.13,0.5120981,126.0,0.1719853
