regiao_geo,estado,codmun,nomemun,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro-Oeste,Goiás,520390,Buriti Alegre,87.71930,100.00000,55.26316,100.00000,90.00000,100.00000,53.27103,100.00000,100.00000,86.98630,91.09589
Centro-Oeste,Goiás,520393,Buriti de Goiás,100.00000,89.65517,100.00000,100.00000,92.30769,100.00000,62.85714,88.57143,100.00000,100.00000,90.90909
Centro-Oeste,Goiás,520396,Buritinópolis,90.00000,78.00000,86.00000,100.00000,100.00000,86.11111,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520400,Cabeceiras,100.00000,100.00000,100.00000,100.00000,92.17391,100.00000,84.03361,79.83193,84.61538,100.00000,100.00000
Centro-Oeste,Goiás,520410,Cachoeira Alta,100.00000,97.95918,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,91.85185,100.00000,100.00000
Centro-Oeste,Goiás,520420,Cachoeira de Goiás,100.00000,100.00000,100.00000,100.00000,100.00000,65.21739,100.00000,100.00000,64.70588,100.00000,100.00000
Centro-Oeste,Goiás,520425,Cachoeira Dourada,97.32143,68.75000,89.28571,100.00000,66.66667,100.00000,71.73913,52.89855,68.57143,88.42105,85.26316
Centro-Oeste,Goiás,520430,Caçu,100.00000,89.03226,93.54839,100.00000,100.00000,96.91358,100.00000,94.08284,89.71429,95.85799,76.33136
Centro-Oeste,Goiás,520440,Caiapônia,88.71795,85.64103,78.97436,100.00000,100.00000,91.93548,81.72043,100.00000,100.00000,98.59155,83.09859
Centro-Oeste,Goiás,520450,Caldas Novas,91.55470,100.00000,100.00000,100.00000,82.10806,85.82408,85.95549,81.88795,92.92035,88.25816,81.95956
Centro-Oeste,Goiás,520455,Caldazinha,59.25926,100.00000,100.00000,100.00000,37.50000,100.00000,12.24490,100.00000,89.74359,77.08333,93.75000
Centro-Oeste,Goiás,520460,Campestre de Goiás,100.00000,100.00000,100.00000,100.00000,100.00000,96.42857,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520465,Campinaçu,100.00000,100.00000,100.00000,97.72727,18.60465,50.00000,44.18605,69.76744,90.00000,89.47368,100.00000
Centro-Oeste,Goiás,520470,Campinorte,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,90.74074,92.59259,98.22485,98.64865,100.00000
Centro-Oeste,Goiás,520480,Campo Alegre de Goiás,100.00000,100.00000,100.00000,97.26027,100.00000,100.00000,79.03226,100.00000,85.07463,88.73239,100.00000
Centro-Oeste,Goiás,520485,Campo Limpo de Goiás,100.00000,100.00000,100.00000,100.00000,84.90566,100.00000,36.03604,85.58559,100.00000,80.55556,76.38889
Centro-Oeste,Goiás,520490,Campos Belos,90.17341,100.00000,95.95376,100.00000,99.07975,75.06562,83.09038,89.21283,91.48936,68.58006,73.11178
Centro-Oeste,Goiás,520495,Campos Verdes,97.75281,89.88764,74.15730,100.00000,100.00000,100.00000,96.29630,85.18519,100.00000,66.66667,100.00000
Centro-Oeste,Goiás,520500,Carmo do Rio Verde,100.00000,100.00000,100.00000,100.00000,100.00000,65.28926,83.20611,92.36641,71.20000,94.16667,70.83333
Centro-Oeste,Goiás,520505,Castelândia,100.00000,100.00000,100.00000,77.77778,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520510,Catalão,86.32479,100.00000,96.50350,98.75098,86.70741,76.91729,84.63668,82.97578,78.81066,80.45977,80.18932
Centro-Oeste,Goiás,520520,Caturaí,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520530,Cavalcante,100.00000,98.21429,82.14286,100.00000,88.88889,98.71795,100.00000,100.00000,92.14286,95.00000,90.71429
Centro-Oeste,Goiás,520540,Ceres,98.67841,100.00000,90.74890,100.00000,98.77049,100.00000,88.12950,87.76978,91.63763,85.42373,65.42373
Centro-Oeste,Goiás,520545,Cezarina,90.19608,100.00000,100.00000,100.00000,76.15385,100.00000,77.41935,66.12903,85.00000,89.71963,93.45794
Centro-Oeste,Goiás,520547,Chapadão do Céu,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,91.44385,100.00000,74.34555
Centro-Oeste,Goiás,520549,Cidade Ocidental,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,80.98056,97.63314,100.00000,97.08561,89.98179
Centro-Oeste,Goiás,520551,Cocalzinho de Goiás,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520552,Colinas do Sul,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,91.83673,59.18367
Centro-Oeste,Goiás,520570,Córrego do Ouro,95.83333,100.00000,100.00000,100.00000,91.66667,91.30435,100.00000,88.23529,100.00000,82.50000,57.50000
Centro-Oeste,Goiás,520580,Corumbá de Goiás,85.18519,79.62963,70.37037,100.00000,100.00000,87.38739,100.00000,100.00000,100.00000,93.00000,100.00000
Centro-Oeste,Goiás,520620,Cristalina,98.06362,100.00000,100.00000,100.00000,100.00000,95.63046,100.00000,99.52774,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520630,Cristianópolis,100.00000,100.00000,100.00000,90.32258,25.00000,78.12500,65.78947,89.47368,100.00000,58.33333,100.00000
Centro-Oeste,Goiás,520640,Crixás,88.88889,99.55556,96.88889,100.00000,93.30357,91.28205,89.21162,96.68050,97.10145,88.06584,54.32099
Centro-Oeste,Goiás,520650,Cromínia,100.00000,92.30769,71.79487,100.00000,100.00000,46.66667,100.00000,88.88889,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520660,Cumari,90.62500,81.25000,87.50000,100.00000,96.87500,53.84615,64.86486,83.78378,100.00000,100.00000,70.96774
Centro-Oeste,Goiás,520670,Damianópolis,100.00000,100.00000,95.55556,100.00000,100.00000,97.91667,69.23077,76.92308,100.00000,100.00000,100.00000
Centro-Oeste,Goiás,520680,Damolândia,68.75000,100.00000,65.62500,100.00000,68.96552,100.00000,100.00000,100.00000,68.57143,87.09677,100.00000
Centro-Oeste,Goiás,520690,Davinópolis,100.00000,100.00000,100.00000,100.00000,52.94118,93.75000,100.00000,100.00000,100.00000,87.50000,81.25000
Centro-Oeste,Goiás,520830,Divinópolis de Goiás,100.00000,100.00000,100.00000,67.64706,66.32653,100.00000,88.63636,82.95455,70.73171,100.00000,96.87500
Centro-Oeste,Goiás,520725,Doverlândia,100.00000,80.50847,62.71186,100.00000,100.00000,100.00000,96.90722,62.88660,90.72165,96.96970,96.96970
Centro-Oeste,Goiás,520735,Edealina,100.00000,100.00000,100.00000,100.00000,92.15686,63.82979,54.05405,100.00000,78.00000,96.07843,76.47059
Centro-Oeste,Goiás,520740,Edéia,100.00000,100.00000,96.94656,78.94737,33.78378,98.61111,77.41935,100.00000,89.31298,67.11409,52.34899
Centro-Oeste,Goiás,520750,Estrela do Norte,100.00000,100.00000,100.00000,100.00000,100.00000,82.22222,66.66667,100.00000,100.00000,72.72727,58.18182
