Estado,Região,CodMun,Município,Média Cob Vac,Média At Pr,Média Plano,IDHm,Média Var CobVac,Média Var At Pr,Média Var Plano
Goiás,Centro Oeste,520450,Caldas Novas,90.0425788,65.8227273,9.3913411,0.733,-0.0074023,-0.0230440,0.0221081
Goiás,Centro Oeste,520455,Caldazinha,79.0528255,99.7690909,4.8531847,0.685,0.7990863,0.0000662,0.1123170
Goiás,Centro Oeste,520460,Campestre de Goiás,99.6753247,98.8009091,2.1364438,0.653,0.0001323,0.0041967,0.1169258
Goiás,Centro Oeste,520465,Campinaçu,78.1599179,99.2836364,0.9745179,0.631,0.1719613,0.0006741,0.0547658
Goiás,Centro Oeste,520470,Campinorte,98.2006213,96.7590909,8.8693707,0.688,0.0006657,0.0012453,0.0801544
Goiás,Centro Oeste,520480,Campo Alegre de Goiás,95.4635958,100.0000000,24.0422363,0.694,0.0077126,0.0000000,0.0088693
Goiás,Centro Oeste,520485,Campo Limpo de Goiás,87.5883388,99.2800000,2.0865934,0.661,0.0684447,0.0001411,-0.1175055
Goiás,Centro Oeste,520490,Campos Belos,87.7960864,93.0772727,6.4530915,0.692,-0.0119113,0.0115859,0.0494039
Goiás,Centro Oeste,520495,Campos Verdes,91.8132637,100.0000000,1.6657379,0.654,0.0281183,0.0000000,0.1213918
Goiás,Centro Oeste,520500,Carmo do Rio Verde,88.8237978,99.1781818,4.1261922,0.713,-0.0116972,0.0008984,-0.0049847
Goiás,Centro Oeste,520505,Castelândia,97.9797980,96.0109091,7.0831145,0.701,0.0063492,0.0031959,0.1642149
Goiás,Centro Oeste,520510,Catalão,86.5705608,49.0245455,29.1573205,0.766,-0.0040026,0.0435217,0.0038737
Goiás,Centro Oeste,520520,Caturaí,100.0000000,97.1309091,5.2026817,0.664,0.0000000,0.0145534,0.0127573
Goiás,Centro Oeste,520530,Cavalcante,95.0746476,99.9581818,1.3879343,0.584,-0.0044326,0.0004621,0.0335065
Goiás,Centro Oeste,520540,Ceres,91.5074703,97.8872727,10.6813696,0.775,-0.0357678,0.0006901,0.0183776
Goiás,Centro Oeste,520545,Cezarina,88.9159893,92.2409091,9.0245230,0.711,0.0194283,0.0144511,0.0281758
Goiás,Centro Oeste,520547,Chapadão do Céu,96.8899455,97.4281818,32.0242575,0.742,-0.0248539,0.0016063,0.0424698
Goiás,Centro Oeste,520549,Cidade Ocidental,96.8800990,93.7409091,22.1391395,0.717,-0.0062630,0.0178540,-0.1799755
Goiás,Centro Oeste,520551,Cocalzinho de Goiás,100.0000000,99.4327273,2.9841149,0.657,0.0000000,0.0000731,0.1486456
Goiás,Centro Oeste,520552,Colinas do Sul,95.5473098,100.0000000,2.1316297,0.658,-0.0437188,0.0000000,0.0741808
Goiás,Centro Oeste,520570,Córrego do Ouro,91.5490584,100.0000000,3.6216806,0.686,-0.0410914,0.0000000,-0.0278933
Goiás,Centro Oeste,520580,Corumbá de Goiás,92.3247793,97.1772727,1.9112440,0.68,0.0263029,-0.0066557,0.0144069
Goiás,Centro Oeste,520620,Cristalina,99.3838028,81.2290909,5.0087269,0.699,0.0021765,0.0021473,0.0309853
Goiás,Centro Oeste,520630,Cristianópolis,82.4585520,100.0000000,4.1543072,0.688,0.1922383,0.0000000,0.0462536
Goiás,Centro Oeste,520640,Crixás,90.4817593,95.7536364,24.2823233,0.708,-0.0374144,0.0095679,0.0263469
Goiás,Centro Oeste,520650,Cromínia,90.8780109,100.0000000,3.6875198,0.706,0.0717125,0.0000000,0.0851355
Goiás,Centro Oeste,520660,Cumari,84.5193222,100.0000000,10.2585639,0.737,0.0040439,0.0000000,0.0332973
Goiás,Centro Oeste,520670,Damianópolis,94.5114608,99.4363636,0.8881015,0.654,0.0099383,0.0066098,0.0474830
Goiás,Centro Oeste,520680,Damolândia,87.1826109,100.0000000,3.9721120,0.697,0.0878284,0.0000000,-0.0272531
Goiás,Centro Oeste,520690,Davinópolis,92.3128342,100.0000000,1.2810038,0.716,0.0170483,0.0000000,0.3146772
Goiás,Centro Oeste,520830,Divinópolis de Goiás,88.4701096,97.4381818,2.7011947,0.653,0.0222102,-0.0281800,0.0778434
Goiás,Centro Oeste,520725,Doverlândia,89.7886543,99.4763636,3.1135207,0.668,0.0308129,-0.0057600,0.1020923
Goiás,Centro Oeste,520735,Edealina,87.3263385,100.0000000,3.9302566,0.702,0.0118730,0.0000000,0.1152108
Goiás,Centro Oeste,520740,Edéia,81.3167498,100.0000000,12.9266199,0.739,0.0631964,0.0000000,0.2867110
Goiás,Centro Oeste,520750,Estrela do Norte,89.0725436,100.0000000,2.1301665,0.707,-0.0339694,0.0000000,0.0526925
Goiás,Centro Oeste,520753,Faina,85.1008384,100.0000000,1.8017910,0.65,-0.0152148,0.0000000,0.2716419
Goiás,Centro Oeste,520760,Fazenda Nova,90.7937219,100.0000000,5.9529765,0.685,0.0507036,0.0000000,-0.0749595
Goiás,Centro Oeste,520780,Firminópolis,92.9178924,100.0000000,4.2536402,0.732,0.0065133,0.0000000,0.0791313
Goiás,Centro Oeste,520790,Flores de Goiás,89.1597001,95.2309091,0.3324066,0.597,-0.0019638,0.0126148,0.0748708
Goiás,Centro Oeste,520800,Formosa,89.9835739,61.1445455,7.1476901,0.744,-0.0493210,0.0157524,0.0377366
Goiás,Centro Oeste,520810,Formoso,76.3241575,98.2918182,2.8048995,0.715,0.2888490,-0.0187900,0.0116242
Goiás,Centro Oeste,520815,Gameleira de Goiás,86.8550179,99.6645455,0.9758494,0.659,0.0432238,0.0038314,0.0925481
Goiás,Centro Oeste,520840,Goianápolis,98.4988222,100.0000000,5.3729645,0.703,-0.0006230,0.0000000,0.1144151
Goiás,Centro Oeste,520850,Goiandira,92.4663577,100.0000000,17.2228183,0.76,0.0250254,0.0000000,0.0062325
Goiás,Centro Oeste,520860,Goianésia,91.8930285,88.8927273,10.8266890,0.727,0.0010053,0.0190297,0.0916219
Goiás,Centro Oeste,520870,Goiânia,83.5554426,66.7718182,31.5280387,0.799,-0.0238113,-0.0475048,0.0373567
Goiás,Centro Oeste,520880,Goianira,99.6904043,100.0000000,8.4517996,0.694,0.0000742,0.0000000,0.0794788
Goiás,Centro Oeste,520890,Goiás,70.2275240,100.0000000,9.4973093,0.709,0.0998398,0.0000000,0.0306806
Goiás,Centro Oeste,520910,Goiatuba,88.1591900,100.0000000,15.1354303,0.725,-0.0307649,0.0000000,0.1491412
Goiás,Centro Oeste,520915,Gouvelândia,94.7186147,85.4609091,1.4913123,0.674,0.0091284,0.0650659,0.1303293
Goiás,Centro Oeste,520920,Guapó,91.3164361,100.0000000,6.5630676,0.697,0.0464559,0.0000000,0.0756950
Goiás,Centro Oeste,520929,Guaraíta,93.7486756,100.0000000,1.1793430,0.687,0.0204913,0.0000000,0.0427427
Goiás,Centro Oeste,520940,Guarani de Goiás,96.7365967,95.1772727,1.4752771,0.637,0.0044760,0.0193748,0.1175228
Goiás,Centro Oeste,520945,Guarinos,95.4448329,100.0000000,4.1094062,0.652,0.0052412,0.0000000,0.9105432
Goiás,Centro Oeste,520960,Heitoraí,91.4621268,95.7409091,1.2061885,0.694,0.0506551,0.0002342,0.0246518
Goiás,Centro Oeste,520970,Hidrolândia,83.6178073,99.5790909,7.1407356,0.706,0.0962290,-0.0046300,0.1048052
Goiás,Centro Oeste,520980,Hidrolina,91.1130536,98.3400000,3.3093984,0.677,-0.0084003,0.0023472,0.0582561
Goiás,Centro Oeste,520990,Iaciara,85.7685102,73.7290909,1.3958944,0.644,0.0306561,-0.0259657,0.0029301
Goiás,Centro Oeste,520993,Inaciolândia,96.2337662,100.0000000,4.1067446,0.692,0.0308442,0.0000000,0.1734642
Goiás,Centro Oeste,520995,Indiara,78.7636010,97.3054545,3.9311639,0.701,0.1164994,0.0010446,0.0727138
Goiás,Centro Oeste,521000,Inhumas,81.4038102,99.3227273,7.0572986,0.72,0.0182561,0.0002066,0.0507210
Goiás,Centro Oeste,521010,Ipameri,91.9438330,100.0000000,8.6386592,0.701,-0.0201925,0.0000000,0.0724161
Goiás,Centro Oeste,521015,Ipiranga de Goiás,91.6756423,100.0000000,0.6882348,0.696,0.0399999,0.0000000,0.1351482
Goiás,Centro Oeste,521020,Iporá,91.1983684,86.7763636,5.9257803,0.743,-0.0050412,0.0017025,0.0514183
Goiás,Centro Oeste,521030,Israelândia,87.6910915,100.0000000,1.5325869,0.711,0.0982821,0.0000000,0.0525682
Goiás,Centro Oeste,521040,Itaberaí,89.1060851,88.5127273,2.9952308,0.719,-0.0015945,-0.0055032,0.0444199
Goiás,Centro Oeste,521056,Itaguari,93.5542355,100.0000000,1.2426096,0.693,-0.0149685,0.0000000,0.0235500
