CodMun,regiao_geo,Estado,Mun,Média_pop,Média_pop0a4,Média_pct_pop0a4,area_km2,Densidade,pct_san_adeq,média_familias_bf,média_pct_ben_bf
292030,Nordeste,Bahia,Malhada de Pedras,8543,557,0.0651893,550.55,15.52,0.0952163,1201,0.5617827
292040,Nordeste,Bahia,Manoel Vitorino,13892,1016,0.0730181,2201.764,6.31,0.0283601,2639,0.7616310
292045,Nordeste,Bahia,Mansidão,13246,1096,0.0827604,3129.588,4.23,0.0269421,2164,0.6526470
292050,Nordeste,Bahia,Maracás,22735,1506,0.0659467,2413.27,9.42,0.0918505,3722,0.6545165
292060,Nordeste,Bahia,Maragogipe,44178,3156,0.0714678,437.61,100.95,0.3740868,8066,0.7297920
292070,Nordeste,Bahia,Maraú,20361,1813,0.0890643,848.885,23.99,0.1731794,3517,0.6904792
292080,Nordeste,Bahia,Marcionílio Souza,10519,875,0.0831906,1099.283,9.57,0.1405532,2066,0.7861098
292090,Nordeste,Bahia,Mascote,14273,1285,0.0899562,742.689,19.22,0.4453493,2615,0.7327500
292100,Nordeste,Bahia,Mata de São João,44240,3477,0.0787090,605.168,73.10,0.4149716,5407,0.4887625
292105,Nordeste,Bahia,Matina,11852,986,0.0832843,773.278,15.33,0.0338626,2003,0.6752756
292110,Nordeste,Bahia,Medeiros Neto,22571,1567,0.0694403,1311.739,17.21,0.3386564,3033,0.5377226
292120,Nordeste,Bahia,Miguel Calmon,26582,2032,0.0763849,1599.672,16.62,0.3960889,4242,0.6380385
292130,Nordeste,Bahia,Milagres,11195,841,0.0750305,420.358,26.63,0.0462955,1890,0.6757712
292140,Nordeste,Bahia,Mirangaba,17751,1355,0.0763998,1751.778,10.13,0.1731811,3141,0.7074245
292145,Nordeste,Bahia,Mirante,9476,605,0.0635823,1172.86,8.08,0.2022919,1561,0.6605430
292150,Nordeste,Bahia,Monte Santo,50023,3978,0.0795045,3034.197,16.49,0.1162612,9414,0.7529974
292160,Nordeste,Bahia,Morpará,8614,630,0.0730617,2093.872,4.11,0.0379950,1603,0.7448864
292170,Nordeste,Bahia,Morro do Chapéu,35295,3065,0.0868535,5744.969,6.14,0.0931907,5055,0.5728556
292180,Nordeste,Bahia,Mortugaba,11995,773,0.0644180,528.214,22.71,0.0170955,1536,0.5124733
292190,Nordeste,Bahia,Mucugê,9809,764,0.0776536,2462.153,3.98,0.3587531,1669,0.6822837
292200,Nordeste,Bahia,Mucuri,39578,3429,0.0867964,1787.626,22.14,0.2919206,2852,0.2859249
292205,Nordeste,Bahia,Mulungu do Morro,11817,1029,0.0868841,646.621,18.28,0.0039926,2590,0.8829931
292210,Nordeste,Bahia,Mundo Novo,25945,2100,0.0809861,1491.99,17.39,0.3617424,4206,0.6479790
292220,Nordeste,Bahia,Muniz Ferreira,7329,474,0.0647491,104.54,70.11,0.2683130,1281,0.6991986
292225,Nordeste,Bahia,Muquém de São Francisco,11061,1166,0.1054542,3852.111,2.87,0.1612088,2065,0.7458464
292230,Nordeste,Bahia,Muritiba,29352,1933,0.0658539,86.311,340.07,0.1436326,4641,0.6323651
292240,Nordeste,Bahia,Mutuípe,21957,1477,0.0672923,275.854,79.60,0.4616025,3144,0.5728675
292250,Nordeste,Bahia,Nazaré,28222,2031,0.0719864,278.629,101.29,0.5098638,3494,0.4954230
